years_ago,value,error
7983,259.3,0.9
7881,259.6,0.5
7782,260.8,1.4
7685,259.2,0.7
7589,259.7,0.9
7492,260.4,0.4
7396,260.1,0.6
7395,254.6,3
7279,258.4,0.8
7200,260.7,0.6
7099,263.0,0.7
6998,262.3,0.9
6860,257.6,0.9
6781,258.1,1.4
6699,262.9,0.5
6582,262.1,0.9
6498,259.4,0.6
6417,261.1,0.4
6288,262.2,3
6273,261.2,0.7
6170,262.7,0.9
6132,263.2,0.6
5989,265.5,0.8
5848,266.7,0.9
5789,260.7,1.6
5689,265.5,0.8
5589,265.9,0.9
5487,267.6,2.0
5386,265.2,0.8
5264,265.3,1.7
5182,267.6,0.6
5101,269.8,1.2
4963,268.6,1.1
4865,269.3,1.0
4805,270.7,0.5
4664,271.5,0.8
4564,269.8,1.0
4463,269.1,0.6
4403,271.1,0.8
4244,271.5,0.9
4185,272.8,0.8
4087,271.6,0.7
3989,271.7,1.0
3901,268.1,3
3870,274.9,1.3
3792,275.4,0.5
3702,272.8,3
3696,271.5,1.0
3599,273.0,0.8
3522,273.4,1.3
3405,275.0,0.6
3287,274.0,0.3
3206,273.1,1.1
3146,276.3,1.5
2986,274.6,0.8
2888,276.3,0.9
2811,274.7,1.2
2693,275.3,1.6
2618,278.9,0.6
2521,273.9,1.1
2420,277.9,0.5
2410,284.7,3
2296,277.6,1.3
2218,276.7,0.8
2137,276.7,0.8
2017,276.7,1.1
2016,276.8,1.1
2015,276.8,1.1
2014,276.9,1.1
2013,276.9,1.1
2012,277.0,1.1
2011,277.1,1.1
2010,277.1,1.1
2009,277.2,1.1
2008,277.2,1.1
2007,277.3,1.1
2006,277.3,1.1
2005,277.4,1.1
2004,277.4,1.1
2003,277.5,1.1
2002,277.5,1.1
2001,277.6,1.1
2000,277.6,1.1
1999,277.6,1.1
1998,277.7,1.1
1997,277.7,1.1
1996,277.7,1.1
1995,277.8,1.1
1994,277.8,1.1
1993,277.8,1.1
1992,277.9,1.1
1991,277.9,1.1
1990,277.9,1.1
1989,277.9,1.1
1988,277.9,1.1
1987,277.9,1.1
1986,277.9,1.1
1985,277.9,1.1
1984,277.9,1.1
1983,277.9,1.1
1982,277.9,1.1
1981,277.9,1.1
1980,277.8,1.1
1979,277.8,1.1
1978,277.8,1.1
1977,277.8,1.1
1976,277.8,1.1
1975,277.7,1.1
1974,277.7,1.1
1973,277.7,1.1
1972,277.7,1.1
1971,277.6,1.1
1970,277.6,1.1
1969,277.6,1.1
1968,277.5,1.1
1967,277.5,1.1
1966,277.5,1.1
1965,277.5,1.1
1964,277.4,1.1
1963,277.4,1.1
1962,277.4,1.1
1961,277.4,1.1
1960,277.4,1.1
1959,277.3,1.1
1958,277.3,1.1
1957,277.3,1.1
1956,277.3,1.1
1955,277.3,1.1
1954,277.3,1.1
1953,277.3,1.1
1952,277.3,1.1
1951,277.3,1.1
1950,277.3,1.1
1949,277.3,1.1
1948,277.3,1.1
1947,277.3,1.1
1946,277.2,1.1
1945,277.3,1.1
1944,277.3,1.1
1943,277.3,1.1
1942,277.3,1.1
1941,277.3,1.1
1940,277.3,1.1
1939,277.3,1.1
1938,277.3,1.1
1937,277.3,1.1
1936,277.3,1.1
1935,277.3,1.1
1934,277.3,1.1
1933,277.3,1.1
1932,277.3,1.1
1931,277.3,1.1
1930,277.3,1.1
1929,277.3,1.1
1928,277.4,1.1
1927,277.4,1.1
1926,277.4,1.1
1925,277.4,1.1
1924,277.4,1.1
1923,277.4,1.1
1922,277.4,1.1
1921,277.4,1.1
1920,277.4,1.1
1919,277.4,1.1
1918,277.5,1.1
1917,277.5,1.1
1916,277.5,1.1
1915,277.5,1.1
1914,277.5,1.1
1913,277.5,1.1
1912,277.5,1.1
1911,277.5,1.1
1910,277.5,1.1
1909,277.5,1.1
1908,277.5,1.1
1907,277.5,1.1
1906,277.6,1.1
1905,277.6,1.1
1904,277.6,1.1
1903,277.6,1.1
1902,277.6,1.1
1901,277.6,1.1
1900,277.6,1.1
1899,277.6,1.1
1898,277.6,1.1
1897,277.7,1.1
1896,277.7,1.1
1895,277.7,1.1
1894,277.7,1.1
1893,277.7,1.1
1892,277.8,1.1
1891,277.8,1.1
1890,277.8,1.1
1889,277.8,1.1
1888,277.9,1.1
1887,277.9,1.1
1886,277.9,1.1
1885,278.0,1.1
1884,278.0,1.1
1883,278.1,1.1
1882,278.1,1.1
1881,278.2,1.1
1880,278.2,1.1
1879,278.3,1.1
1878,278.3,1.1
1877,278.4,1.1
1876,278.4,1.1
1875,278.5,1.1
1874,278.6,1.1
1873,278.6,1.1
1872,278.7,1.1
1871,278.8,1.1
1870,278.8,1.1
1869,278.9,1.1
1868,279.0,1.1
1867,279.0,1.1
1866,279.1,1.1
1865,279.2,1.1
1864,279.3,1.1
1863,279.3,1.1
1862,279.4,1.1
1861,279.5,1.1
1860,279.5,1.1
1859,279.6,1.1
1858,279.7,1.1
1857,279.7,1.1
1856,279.8,1.1
1855,279.8,1.1
1854,279.9,1.1
1853,279.9,1.1
1852,280.0,1.1
1851,280.0,1.1
1850,280.1,1.1
1849,280.1,1.1
1848,280.2,1.1
1847,280.2,1.1
1846,280.2,1.1
1845,280.3,1.1
1844,280.3,1.1
1843,280.3,1.1
1842,280.3,1.1
1841,280.4,1.1
1840,280.4,1.1
1839,280.4,1.1
1838,280.4,1.1
1837,280.4,1.1
1836,280.4,1.1
1835,280.4,1.1
1834,280.5,1.1
1833,280.5,1.1
1832,280.5,1.1
1831,280.5,1.1
1830,280.5,1.1
1829,280.5,1.1
1828,280.5,1.1
1827,280.5,1.1
1826,280.5,1.1
1825,280.5,1.1
1824,280.6,1.1
1823,280.6,1.1
1822,280.6,1.1
1821,280.6,1.1
1820,280.6,1.1
1819,280.6,1.1
1818,280.6,1.1
1817,280.7,1.1
1816,280.7,1.1
1815,280.7,1.1
1814,280.7,1.1
1813,280.8,1.1
1812,280.8,1.1
1811,280.8,1.1
1810,280.9,1.1
1809,280.9,1.1
1808,281.0,1.1
1807,281.0,1.1
1806,281.0,1.1
1805,281.1,1.1
1804,281.1,1.1
1803,281.1,1.1
1802,281.2,1.1
1801,281.2,1.1
1800,281.3,1.1
1799,281.3,1.1
1798,281.3,1.1
1797,281.4,1.1
1796,281.4,1.1
1795,281.4,1.1
1794,281.4,1.1
1793,281.5,1.1
1792,281.5,1.1
1791,281.5,1.1
1790,281.5,1.1
1789,281.5,1.1
1788,281.5,1.1
1787,281.5,1.1
1786,281.5,1.1
1785,281.5,1.1
1784,281.5,1.1
1783,281.5,1.1
1782,281.5,1.1
1781,281.4,1.1
1780,281.4,1.1
1779,281.4,1.1
1778,281.4,1.1
1777,281.4,1.1
1776,281.3,1.1
1775,281.3,1.1
1774,281.3,1.1
1773,281.2,1.1
1772,281.2,1.1
1771,281.2,1.1
1770,281.1,1.1
1769,281.1,1.1
1768,281.0,1.1
1767,281.0,1.1
1766,281.0,1.1
1765,280.9,1.1
1764,280.9,1.1
1763,280.8,1.1
1762,280.8,1.1
1761,280.7,1.1
1760,280.7,1.1
1759,280.7,1.1
1758,280.6,1.1
1757,280.6,1.1
1756,280.5,1.1
1755,280.5,1.1
1754,280.4,1.1
1753,280.4,1.1
1752,280.4,1.1
1751,280.3,1.1
1750,280.3,1.1
1749,280.3,1.1
1748,280.2,1.1
1747,280.2,1.1
1746,280.2,1.1
1745,280.1,1.1
1744,280.1,1.1
1743,280.1,1.1
1742,280.1,1.1
1741,280.0,1.1
1740,280.0,1.1
1739,280.0,1.1
1738,280.0,1.1
1737,280.0,1.1
1736,280.0,1.1
1735,280.0,1.1
1734,279.9,1.1
1733,279.9,1.1
1732,279.9,1.1
1731,279.9,1.1
1730,279.9,1.1
1729,279.9,1.1
1728,279.9,1.1
1727,279.9,1.1
1726,279.9,1.1
1725,279.9,1.1
1724,279.9,1.1
1723,279.9,1.1
1722,279.9,1.1
1721,279.9,1.1
1720,279.8,1.1
1719,279.8,1.1
1718,279.8,1.1
1717,279.8,1.1
1716,279.8,1.1
1715,279.8,1.1
1714,279.8,1.1
1713,279.8,1.1
1712,279.7,1.1
1711,279.7,1.1
1710,279.7,1.1
1709,279.7,1.1
1708,279.6,1.1
1707,279.6,1.1
1706,279.6,1.1
1705,279.6,1.1
1704,279.5,1.1
1703,279.5,1.1
1702,279.5,1.1
1701,279.4,1.1
1700,279.4,1.1
1699,279.4,1.1
1698,279.3,1.1
1697,279.3,1.1
1696,279.2,1.1
1695,279.2,1.1
1694,279.1,1.1
1693,279.1,1.1
1692,279.1,1.1
1691,279.0,1.1
1690,279.0,1.1
1689,278.9,1.1
1688,278.9,1.1
1687,278.8,1.1
1686,278.8,1.1
1685,278.7,1.1
1684,278.6,1.1
1683,278.6,1.1
1682,278.5,1.1
1681,278.5,1.1
1680,278.4,1.1
1679,278.4,1.1
1678,278.3,1.1
1677,278.2,1.1
1676,278.2,1.1
1675,278.1,1.1
1674,278.1,1.1
1673,278.0,1.1
1672,277.9,1.1
1671,277.9,1.1
1670,277.8,1.1
1669,277.8,1.1
1668,277.7,1.1
1667,277.6,1.1
1666,277.6,1.1
1665,277.5,1.1
1664,277.5,1.1
1663,277.4,1.1
1662,277.4,1.1
1661,277.3,1.1
1660,277.3,1.1
1659,277.2,1.1
1658,277.2,1.1
1657,277.1,1.1
1656,277.1,1.1
1655,277.1,1.1
1654,277.0,1.1
1653,277.0,1.1
1652,277.0,1.1
1651,276.9,1.1
1650,276.9,1.1
1649,276.9,1.1
1648,276.8,1.1
1647,276.8,1.1
1646,276.8,1.1
1645,276.8,1.1
1644,276.7,1.1
1643,276.7,1.1
1642,276.7,1.1
1641,276.7,1.1
1640,276.7,1.1
1639,276.7,1.1
1638,276.7,1.1
1637,276.7,1.1
1636,276.6,1.1
1635,276.6,1.1
1634,276.6,1.1
1633,276.6,1.1
1632,276.6,1.1
1631,276.6,1.1
1630,276.6,1.1
1629,276.6,1.1
1628,276.6,1.1
1627,276.6,1.1
1626,276.6,1.1
1625,276.6,1.1
1624,276.6,1.1
1623,276.6,1.1
1622,276.6,1.1
1621,276.7,1.1
1620,276.7,1.1
1619,276.7,1.1
1618,276.7,1.1
1617,276.7,1.1
1616,276.7,1.1
1615,276.7,1.1
1614,276.7,1.1
1613,276.7,1.1
1612,276.7,1.1
1611,276.7,1.1
1610,276.8,1.1
1609,276.8,1.1
1608,276.8,1.1
1607,276.8,1.1
1606,276.8,1.1
1605,276.8,1.1
1604,276.8,1.1
1603,276.8,1.1
1602,276.8,1.1
1601,276.8,1.1
1600,276.8,1.1
1599,276.9,1.1
1598,276.9,1.1
1597,276.9,1.1
1596,276.9,1.1
1595,276.9,1.1
1594,276.9,1.1
1593,276.9,1.1
1592,276.9,1.1
1591,276.9,1.1
1590,276.9,1.1
1589,276.9,1.1
1588,276.9,1.1
1587,276.9,1.1
1586,276.9,1.1
1585,276.9,1.1
1584,276.9,1.1
1583,276.9,1.1
1582,276.9,1.1
1581,276.9,1.1
1580,276.9,1.1
1579,276.9,1.1
1578,276.9,1.1
1577,276.9,1.1
1576,276.9,1.1
1575,276.8,1.1
1574,276.8,1.1
1573,276.8,1.1
1572,276.8,1.1
1571,276.8,1.1
1570,276.8,1.1
1569,276.8,1.1
1568,276.8,1.1
1567,276.8,1.1
1566,276.8,1.1
1565,276.8,1.1
1564,276.8,1.1
1563,276.7,1.1
1562,276.7,1.1
1561,276.7,1.1
1560,276.7,1.1
1559,276.7,1.1
1558,276.7,1.1
1557,276.7,1.1
1556,276.7,1.1
1555,276.7,1.1
1554,276.7,1.1
1553,276.7,1.1
1552,276.7,1.1
1551,276.7,1.1
1550,276.7,1.1
1549,276.7,1.1
1548,276.7,1.1
1547,276.7,1.1
1546,276.7,1.1
1545,276.7,1.1
1544,276.6,1.1
1543,276.6,1.1
1542,276.6,1.1
1541,276.6,1.1
1540,276.6,1.1
1539,276.6,1.1
1538,276.6,1.1
1537,276.6,1.1
1536,276.6,1.1
1535,276.6,1.1
1534,276.6,1.1
1533,276.6,1.1
1532,276.6,1.1
1531,276.6,1.1
1530,276.6,1.1
1529,276.6,1.1
1528,276.5,1.1
1527,276.5,1.1
1526,276.5,1.1
1525,276.5,1.1
1524,276.5,1.1
1523,276.5,1.1
1522,276.5,1.1
1521,276.5,1.1
1520,276.4,1.1
1519,276.4,1.1
1518,276.4,1.1
1517,276.4,1.1
1516,276.3,1.1
1515,276.3,1.1
1514,276.3,1.1
1513,276.3,1.1
1512,276.3,1.1
1511,276.2,1.1
1510,276.2,1.1
1509,276.2,1.1
1508,276.1,1.1
1507,276.1,1.1
1506,276.1,1.1
1505,276.1,1.1
1504,276.0,1.1
1503,276.0,1.1
1502,276.0,1.1
1501,276.0,1.1
1500,276.0,1.1
1499,275.9,1.1
1498,275.9,1.1
1497,275.9,1.1
1496,275.9,1.1
1495,275.9,1.1
1494,275.9,1.1
1493,275.9,1.1
1492,275.9,1.1
1491,275.9,1.1
1490,275.9,1.1
1489,275.9,1.1
1488,275.9,1.1
1487,275.9,1.1
1486,275.9,1.1
1485,275.9,1.1
1484,275.9,1.1
1483,276.0,1.1
1482,276.0,1.1
1481,276.0,1.1
1480,276.1,1.1
1479,276.1,1.1
1478,276.1,1.1
1477,276.2,1.1
1476,276.2,1.1
1475,276.3,1.1
1474,276.3,1.1
1473,276.4,1.1
1472,276.4,1.1
1471,276.5,1.1
1470,276.6,1.1
1469,276.6,1.1
1468,276.7,1.1
1467,276.7,1.1
1466,276.8,1.1
1465,276.9,1.1
1464,276.9,1.1
1463,277.0,1.1
1462,277.0,1.1
1461,277.1,1.1
1460,277.2,1.1
1459,277.2,1.1
1458,277.3,1.1
1457,277.3,1.1
1456,277.4,1.1
1455,277.4,1.1
1454,277.4,1.1
1453,277.5,1.1
1452,277.5,1.1
1451,277.5,1.1
1450,277.6,1.1
1449,277.6,1.1
1448,277.6,1.1
1447,277.6,1.1
1446,277.6,1.1
1445,277.6,1.1
1444,277.6,1.1
1443,277.6,1.1
1442,277.5,1.1
1441,277.5,1.1
1440,277.5,1.1
1439,277.5,1.1
1438,277.4,1.1
1437,277.4,1.1
1436,277.4,1.1
1435,277.3,1.1
1434,277.3,1.1
1433,277.2,1.1
1432,277.2,1.1
1431,277.2,1.1
1430,277.1,1.1
1429,277.1,1.1
1428,277.0,1.1
1427,277.0,1.1
1426,277.0,1.1
1425,277.0,1.1
1424,276.9,1.1
1423,276.9,1.1
1422,276.9,1.1
1421,276.9,1.1
1420,276.9,1.1
1419,276.9,1.1
1418,276.9,1.1
1417,276.9,1.1
1416,276.9,1.1
1415,276.9,1.1
1414,277.0,1.1
1413,277.0,1.1
1412,277.0,1.1
1411,277.0,1.1
1410,277.1,1.1
1409,277.1,1.1
1408,277.2,1.1
1407,277.2,1.1
1406,277.2,1.1
1405,277.3,1.1
1404,277.3,1.1
1403,277.4,1.1
1402,277.4,1.1
1401,277.5,1.1
1400,277.5,1.1
1399,277.6,1.1
1398,277.6,1.1
1397,277.7,1.1
1396,277.8,1.1
1395,277.8,1.1
1394,277.9,1.1
1393,277.9,1.1
1392,278.0,1.1
1391,278.0,1.1
1390,278.1,1.1
1389,278.1,1.1
1388,278.2,1.1
1387,278.2,1.1
1386,278.3,1.1
1385,278.3,1.1
1384,278.4,1.1
1383,278.4,1.1
1382,278.5,1.1
1381,278.5,1.1
1380,278.6,1.1
1379,278.6,1.1
1378,278.6,1.1
1377,278.7,1.1
1376,278.7,1.1
1375,278.7,1.1
1374,278.8,1.1
1373,278.8,1.1
1372,278.8,1.1
1371,278.9,1.1
1370,278.9,1.1
1369,278.9,1.1
1368,279.0,1.1
1367,279.0,1.1
1366,279.0,1.1
1365,279.0,1.1
1364,279.1,1.1
1363,279.1,1.1
1362,279.1,1.1
1361,279.1,1.1
1360,279.2,1.1
1359,279.2,1.1
1358,279.2,1.1
1357,279.2,1.1
1356,279.3,1.1
1355,279.3,1.1
1354,279.3,1.1
1353,279.3,1.1
1352,279.4,1.1
1351,279.4,1.1
1350,279.4,1.1
1349,279.4,1.1
1348,279.5,1.1
1347,279.5,1.1
1346,279.5,1.1
1345,279.5,1.1
1344,279.5,1.1
1343,279.6,1.1
1342,279.6,1.1
1341,279.6,1.1
1340,279.6,1.1
1339,279.6,1.1
1338,279.7,1.1
1337,279.7,1.1
1336,279.7,1.1
1335,279.7,1.1
1334,279.7,1.1
1333,279.7,1.1
1332,279.7,1.1
1331,279.8,1.1
1330,279.8,1.1
1329,279.8,1.1
1328,279.8,1.1
1327,279.8,1.1
1326,279.8,1.1
1325,279.8,1.1
1324,279.8,1.1
1323,279.7,1.1
1322,279.7,1.1
1321,279.7,1.1
1320,279.7,1.1
1319,279.7,1.1
1318,279.7,1.1
1317,279.6,1.1
1316,279.6,1.1
1315,279.6,1.1
1314,279.5,1.1
1313,279.5,1.1
1312,279.5,1.1
1311,279.4,1.1
1310,279.4,1.1
1309,279.3,1.1
1308,279.3,1.1
1307,279.3,1.1
1306,279.2,1.1
1305,279.2,1.1
1304,279.1,1.1
1303,279.1,1.1
1302,279.0,1.1
1301,279.0,1.1
1300,278.9,1.1
1299,278.9,1.1
1298,278.9,1.1
1297,278.8,1.1
1296,278.8,1.1
1295,278.7,1.1
1294,278.7,1.1
1293,278.7,1.1
1292,278.6,1.1
1291,278.6,1.1
1290,278.6,1.1
1289,278.5,1.1
1288,278.5,1.1
1287,278.5,1.1
1286,278.5,1.1
1285,278.4,1.1
1284,278.4,1.1
1283,278.4,1.1
1282,278.4,1.1
1281,278.4,1.1
1280,278.4,1.1
1279,278.4,1.1
1278,278.4,1.1
1277,278.4,1.1
1276,278.4,1.1
1275,278.4,1.1
1274,278.4,1.1
1273,278.4,1.1
1272,278.4,1.1
1271,278.4,1.1
1270,278.4,1.1
1269,278.4,1.1
1268,278.4,1.1
1267,278.4,1.1
1266,278.4,1.1
1265,278.4,1.1
1264,278.4,1.1
1263,278.4,1.1
1262,278.4,1.1
1261,278.4,1.1
1260,278.5,1.1
1259,278.5,1.1
1258,278.5,1.1
1257,278.5,1.1
1256,278.5,1.1
1255,278.5,1.1
1254,278.5,1.1
1253,278.5,1.1
1252,278.5,1.1
1251,278.5,1.1
1250,278.5,1.1
1249,278.5,1.1
1248,278.5,1.1
1247,278.5,1.1
1246,278.5,1.1
1245,278.5,1.1
1244,278.5,1.1
1243,278.5,1.1
1242,278.5,1.1
1241,278.5,1.1
1240,278.5,1.1
1239,278.5,1.1
1238,278.5,1.1
1237,278.5,1.1
1236,278.5,1.1
1235,278.5,1.1
1234,278.5,1.1
1233,278.5,1.1
1232,278.5,1.1
1231,278.5,1.1
1230,278.5,1.1
1229,278.5,1.1
1228,278.5,1.1
1227,278.5,1.1
1226,278.5,1.1
1225,278.5,1.1
1224,278.5,1.1
1223,278.5,1.1
1222,278.5,1.1
1221,278.5,1.1
1220,278.5,1.1
1219,278.5,1.1
1218,278.5,1.1
1217,278.5,1.1
1216,278.5,1.1
1215,278.5,1.1
1214,278.5,1.1
1213,278.6,1.1
1212,278.6,1.1
1211,278.6,1.1
1210,278.6,1.1
1209,278.6,1.1
1208,278.6,1.1
1207,278.6,1.1
1206,278.7,1.1
1205,278.7,1.1
1204,278.7,1.1
1203,278.7,1.1
1202,278.7,1.1
1201,278.7,1.1
1200,278.8,1.1
1199,278.8,1.1
1198,278.8,1.1
1197,278.8,1.1
1196,278.8,1.1
1195,278.9,1.1
1194,278.9,1.1
1193,278.9,1.1
1192,278.9,1.1
1191,278.9,1.1
1190,279.0,1.1
1189,279.0,1.1
1188,279.0,1.1
1187,279.0,1.1
1186,279.0,1.1
1185,279.0,1.1
1184,279.1,1.1
1183,279.1,1.1
1182,279.1,1.1
1181,279.1,1.1
1180,279.1,1.1
1179,279.1,1.1
1178,279.2,1.1
1177,279.2,1.1
1176,279.2,1.1
1175,279.2,1.1
1174,279.2,1.1
1173,279.2,1.1
1172,279.2,1.1
1171,279.3,1.1
1170,279.3,1.1
1169,279.3,1.1
1168,279.3,1.1
1167,279.3,1.1
1166,279.3,1.1
1165,279.3,1.1
1164,279.3,1.1
1163,279.3,1.1
1162,279.3,1.1
1161,279.3,1.1
1160,279.3,1.1
1159,279.3,1.1
1158,279.3,1.1
1157,279.3,1.1
1156,279.3,1.1
1155,279.3,1.1
1154,279.3,1.1
1153,279.3,1.1
1152,279.2,1.1
1151,279.2,1.1
1150,279.2,1.1
1149,279.2,1.1
1148,279.2,1.1
1147,279.2,1.1
1146,279.2,1.1
1145,279.2,1.1
1144,279.1,1.1
1143,279.1,1.1
1142,279.1,1.1
1141,279.1,1.1
1140,279.1,1.1
1139,279.1,1.1
1138,279.1,1.1
1137,279.0,1.1
1136,279.0,1.1
1135,279.0,1.1
1134,279.0,1.1
1133,279.0,1.1
1132,279.0,1.1
1131,279.0,1.1
1130,279.0,1.1
1129,279.0,1.1
1128,278.9,1.1
1127,278.9,1.1
1126,278.9,1.1
1125,278.9,1.1
1124,278.9,1.1
1123,278.9,1.1
1122,278.9,1.1
1121,278.9,1.1
1120,278.9,1.1
1119,278.9,1.1
1118,278.9,1.1
1117,278.9,1.1
1116,278.9,1.1
1115,278.9,1.1
1114,278.9,1.1
1113,278.9,1.1
1112,278.9,1.1
1111,278.9,1.1
1110,278.9,1.1
1109,279.0,1.1
1108,279.0,1.1
1107,279.0,1.1
1106,279.0,1.1
1105,279.0,1.1
1104,279.0,1.1
1103,279.0,1.1
1102,279.0,1.1
1101,279.0,1.1
1100,279.1,1.1
1099,279.1,1.1
1098,279.1,1.1
1097,279.1,1.1
1096,279.1,1.1
1095,279.1,1.1
1094,279.1,1.1
1093,279.1,1.1
1092,279.1,1.1
1091,279.1,1.1
1090,279.1,1.1
1089,279.2,1.1
1088,279.2,1.1
1087,279.2,1.1
1086,279.2,1.1
1085,279.2,1.1
1084,279.2,1.1
1083,279.2,1.1
1082,279.2,1.1
1081,279.2,1.1
1080,279.2,1.1
1079,279.2,1.1
1078,279.1,1.1
1077,279.1,1.1
1076,279.1,1.1
1075,279.1,1.1
1074,279.1,1.1
1073,279.1,1.1
1072,279.1,1.1
