years_ago,value,error
1071,279.0,1.1
1070,279.0,1.1
1069,279.0,1.1
1068,279.0,1.1
1067,279.0,1.1
1066,278.9,1.1
1065,278.9,1.1
1064,278.9,1.1
1063,278.8,1.1
1062,278.8,1.1
1061,278.8,1.1
1060,278.8,1.1
1059,278.7,1.1
1058,278.7,1.1
1057,278.7,1.1
1056,278.7,1.1
1055,278.6,1.1
1054,278.6,1.1
1053,278.6,1.1
1052,278.5,1.1
1051,278.5,1.1
1050,278.5,1.1
1049,278.5,1.1
1048,278.5,1.1
1047,278.5,1.1
1046,278.4,1.1
1045,278.4,1.1
1044,278.4,1.1
1043,278.4,1.1
1042,278.4,1.1
1041,278.4,1.1
1040,278.4,1.1
1039,278.4,1.1
1038,278.4,1.1
1037,278.4,1.1
1036,278.4,1.1
1035,278.4,1.1
1034,278.4,1.1
1033,278.4,1.1
1032,278.5,1.1
1031,278.5,1.1
1030,278.5,1.1
1029,278.5,1.1
1028,278.6,1.1
1027,278.6,1.1
1026,278.6,1.1
1025,278.7,1.1
1024,278.7,1.1
1023,278.7,1.1
1022,278.8,1.1
1021,278.8,1.1
1020,278.9,1.1
1019,279.0,1.1
1018,279.0,1.1
1017,279.1,1.1
1016,279.2,1.1
1015,279.2,1.1
1014,279.3,1.1
1013,279.4,1.1
1012,279.5,1.1
1011,279.6,1.1
1010,279.7,1.1
1009,279.8,1.1
1008,279.9,1.1
1007,280.0,1.1
1006,280.1,1.1
1005,280.2,1.1
1004,280.3,1.1
1003,280.3,1.1
1002,280.4,1.1
1001,280.5,1.1
1000,280.6,1.1
999,280.6,1.1
998,280.7,1.1
997,280.7,1.1
996,280.7,1.1
995,280.8,1.1
994,280.8,1.1
993,280.8,1.1
992,280.7,1.1
991,280.7,1.1
990,280.7,1.1
989,280.6,1.1
988,280.6,1.1
987,280.5,1.1
986,280.5,1.1
985,280.4,1.1
984,280.4,1.1
983,280.4,1.1
982,280.3,1.1
981,280.4,1.1
980,280.4,1.1
979,280.4,1.1
978,280.5,1.1
977,280.6,1.1
976,280.7,1.1
975,280.8,1.1
974,280.9,1.1
973,281.0,1.1
972,281.2,1.1
971,281.3,1.1
970,281.5,1.1
969,281.6,1.1
968,281.8,1.1
967,281.9,1.1
966,282.0,1.1
965,282.2,1.1
964,282.3,1.1
963,282.4,1.1
962,282.6,1.1
961,282.7,1.1
960,282.8,1.1
959,282.9,1.1
958,282.9,1.1
957,283.0,1.1
956,283.0,1.1
955,283.1,1.1
954,283.1,1.1
953,283.1,1.1
952,283.1,1.1
951,283.1,1.1
950,283.1,1.1
949,283.1,1.1
948,283.1,1.1
947,283.0,1.1
946,283.0,1.1
945,283.0,1.1
944,282.9,1.1
943,282.9,1.1
942,282.9,1.1
941,282.8,1.1
940,282.8,1.1
939,282.7,1.1
938,282.7,1.1
937,282.6,1.1
936,282.6,1.1
935,282.5,1.1
934,282.5,1.1
933,282.5,1.1
932,282.4,1.1
931,282.4,1.1
930,282.4,1.1
929,282.4,1.1
928,282.4,1.1
927,282.4,1.1
926,282.4,1.1
925,282.4,1.1
924,282.4,1.1
923,282.4,1.1
922,282.5,1.1
921,282.5,1.1
920,282.5,1.1
919,282.6,1.1
918,282.6,1.1
917,282.6,1.1
916,282.7,1.1
915,282.7,1.1
914,282.7,1.1
913,282.8,1.1
912,282.8,1.1
911,282.9,1.1
910,282.9,1.1
909,282.9,1.1
908,283.0,1.1
907,283.0,1.1
906,283.1,1.1
905,283.1,1.1
904,283.1,1.1
903,283.2,1.1
902,283.2,1.1
901,283.3,1.1
900,283.3,1.1
899,283.3,1.1
898,283.4,1.1
897,283.4,1.1
896,283.4,1.1
895,283.5,1.1
894,283.5,1.1
893,283.5,1.1
892,283.6,1.1
891,283.6,1.1
890,283.6,1.1
889,283.6,1.1
888,283.7,1.1
887,283.7,1.1
886,283.7,1.1
885,283.7,1.1
884,283.7,1.1
883,283.8,1.1
882,283.8,1.1
881,283.8,1.1
880,283.8,1.1
879,283.8,1.1
878,283.8,1.1
877,283.8,1.1
876,283.9,1.1
875,283.9,1.1
874,283.9,1.1
873,283.9,1.1
872,283.9,1.1
871,283.9,1.1
870,283.9,1.1
869,283.9,1.1
868,283.9,1.1
867,283.9,1.1
866,283.9,1.1
865,283.9,1.1
864,283.9,1.1
863,283.9,1.1
862,283.9,1.1
861,283.9,1.1
860,283.9,1.1
859,283.9,1.1
858,283.9,1.1
857,283.9,1.1
856,283.9,1.1
855,283.9,1.1
854,283.9,1.1
853,283.9,1.1
852,283.9,1.1
851,283.9,1.1
850,283.9,1.1
849,283.9,1.1
848,283.9,1.1
847,283.9,1.1
846,283.9,1.1
845,283.9,1.1
844,283.9,1.1
843,283.9,1.1
842,283.9,1.1
841,283.9,1.1
840,283.9,1.1
839,283.9,1.1
838,283.9,1.1
837,283.9,1.1
836,283.9,1.1
835,283.9,1.1
834,283.9,1.1
833,283.9,1.1
832,283.9,1.1
831,283.9,1.1
830,283.9,1.1
829,283.9,1.1
828,283.9,1.1
827,283.9,1.1
826,283.9,1.1
825,283.9,1.1
824,283.9,1.1
823,283.9,1.1
822,283.9,1.1
821,283.9,1.1
820,283.8,1.1
819,283.8,1.1
818,283.8,1.1
817,283.8,1.1
816,283.8,1.1
815,283.7,1.1
814,283.7,1.1
813,283.7,1.1
812,283.7,1.1
811,283.6,1.1
810,283.6,1.1
809,283.5,1.1
808,283.5,1.1
807,283.4,1.1
806,283.4,1.1
805,283.3,1.1
804,283.2,1.1
803,283.2,1.1
802,283.1,1.1
801,283.0,1.1
800,283.0,1.1
799,282.9,1.1
798,282.8,1.1
797,282.7,1.1
796,282.7,1.1
795,282.6,1.1
794,282.5,1.1
793,282.5,1.1
792,282.4,1.1
791,282.3,1.1
790,282.3,1.1
789,282.2,1.1
788,282.1,1.1
787,282.1,1.1
786,282.0,1.1
785,282.0,1.1
784,281.9,1.1
783,281.9,1.1
782,281.8,1.1
781,281.8,1.1
780,281.8,1.1
779,281.7,1.1
778,281.7,1.1
777,281.7,1.1
776,281.7,1.1
775,281.7,1.1
774,281.7,1.1
773,281.7,1.1
772,281.7,1.1
771,281.7,1.1
770,281.8,1.1
769,281.8,1.1
768,281.8,1.1
767,281.9,1.1
766,281.9,1.1
765,282.0,1.1
764,282.0,1.1
763,282.0,1.1
762,282.1,1.1
761,282.1,1.1
760,282.1,1.1
759,282.1,1.1
758,282.0,1.1
757,282.0,1.1
756,282.0,1.1
755,281.9,1.1
754,281.9,1.1
753,281.8,1.1
752,281.8,1.1
751,281.7,1.1
750,281.7,1.1
749,281.6,1.1
748,281.5,1.1
747,281.4,1.1
746,281.4,1.1
745,281.3,1.1
744,281.2,1.1
743,281.2,1.1
742,281.1,1.1
741,281.0,1.1
740,281.0,1.1
739,280.9,1.1
738,280.9,1.1
737,280.8,1.1
736,280.8,1.1
735,280.8,1.1
734,280.7,1.1
733,280.7,1.1
732,280.7,1.1
731,280.7,1.1
730,280.7,1.1
729,280.7,1.1
728,280.7,1.1
727,280.7,1.1
726,280.7,1.1
725,280.7,1.1
724,280.7,1.1
723,280.7,1.1
722,280.8,1.1
721,280.8,1.1
720,280.9,1.1
719,280.9,1.1
718,281.0,1.1
717,281.0,1.1
716,281.1,1.1
715,281.2,1.1
714,281.3,1.1
713,281.4,1.1
712,281.5,1.1
711,281.6,1.1
710,281.7,1.1
709,281.8,1.1
708,281.9,1.1
707,282.1,1.1
706,282.2,1.1
705,282.3,1.1
704,282.4,1.1
703,282.6,1.1
702,282.7,1.1
701,282.8,1.1
700,282.9,1.1
699,283.0,1.1
698,283.1,1.1
697,283.2,1.1
696,283.3,1.1
695,283.4,1.1
694,283.4,1.1
693,283.4,1.1
692,283.5,1.1
691,283.5,1.1
690,283.5,1.1
689,283.4,1.1
688,283.4,1.1
687,283.3,1.1
686,283.2,1.1
685,283.1,1.1
684,283.0,1.1
683,282.8,1.1
682,282.7,1.1
681,282.5,1.1
680,282.3,1.1
679,282.1,1.1
678,281.9,1.1
677,281.7,1.1
676,281.5,1.1
675,281.3,1.1
674,281.1,1.1
673,280.9,1.1
672,280.8,1.1
671,280.6,1.1
670,280.4,1.1
669,280.2,1.1
668,280.1,1.1
667,279.9,1.1
666,279.8,1.1
665,279.7,1.1
664,279.6,1.1
663,279.5,1.1
662,279.4,1.1
661,279.4,1.1
660,279.3,1.1
659,279.3,1.1
658,279.2,1.1
657,279.2,1.1
656,279.2,1.1
655,279.2,1.1
654,279.2,1.1
653,279.2,1.1
652,279.2,1.1
651,279.2,1.1
650,279.2,1.1
649,279.2,1.1
648,279.2,1.1
647,279.3,1.1
646,279.3,1.1
645,279.4,1.1
644,279.4,1.1
643,279.5,1.1
642,279.5,1.1
641,279.6,1.1
640,279.6,1.1
639,279.7,1.1
638,279.7,1.1
637,279.8,1.1
636,279.8,1.1
635,279.9,1.1
634,279.9,1.1
633,280.0,1.1
632,280.0,1.1
631,280.1,1.1
630,280.1,1.1
629,280.1,1.1
628,280.2,1.1
627,280.2,1.1
626,280.2,1.1
625,280.3,1.1
624,280.3,1.1
623,280.3,1.1
622,280.3,1.1
621,280.3,1.1
620,280.3,1.1
619,280.3,1.1
618,280.2,1.1
617,280.2,1.1
616,280.2,1.1
615,280.1,1.1
614,280.1,1.1
613,280.0,1.1
612,280.0,1.1
611,279.9,1.1
610,279.8,1.1
609,279.8,1.1
608,279.7,1.1
607,279.6,1.1
606,279.5,1.1
605,279.4,1.1
604,279.2,1.1
603,279.1,1.1
602,279.0,1.1
601,278.9,1.1
600,278.9,1.1
599,278.8,1.1
598,278.8,1.1
597,278.8,1.1
596,278.8,1.1
595,278.9,1.1
594,279.0,1.1
593,279.2,1.1
592,279.4,1.1
591,279.7,1.1
590,280.1,1.1
589,280.5,1.1
588,280.9,1.1
587,281.4,1.1
586,281.8,1.1
585,282.2,1.1
584,282.5,1.1
583,282.7,1.1
582,282.8,1.1
581,283.0,1.1
580,283.0,1.1
579,283.0,1.1
578,283.0,1.1
577,283.0,1.1
576,282.9,1.1
575,282.8,1.1
574,282.6,1.1
573,282.5,1.1
572,282.3,1.1
571,282.1,1.1
570,281.9,1.1
569,281.8,1.1
568,281.6,1.1
567,281.4,1.1
566,281.3,1.1
565,281.1,1.1
564,280.9,1.1
563,280.8,1.1
562,280.7,1.1
561,280.5,1.1
560,280.4,1.1
559,280.3,1.1
558,280.2,1.1
557,280.1,1.1
556,280.0,1.1
555,279.9,1.1
554,279.8,1.1
553,279.8,1.1
552,279.7,1.1
551,279.7,1.1
550,279.6,1.1
549,279.6,1.1
548,279.6,1.1
547,279.6,1.1
546,279.6,1.1
545,279.7,1.1
544,279.7,1.1
543,279.7,1.1
542,279.8,1.1
541,279.9,1.1
540,279.9,1.1
539,280.0,1.1
538,280.1,1.1
537,280.2,1.1
536,280.3,1.1
535,280.4,1.1
534,280.5,1.1
533,280.6,1.1
532,280.7,1.1
531,280.8,1.1
530,280.9,1.1
529,281.0,1.1
528,281.2,1.1
527,281.3,1.1
526,281.4,1.1
525,281.5,1.1
524,281.6,1.1
523,281.7,1.1
522,281.8,1.1
521,282.0,1.1
520,282.1,1.1
519,282.2,1.1
518,282.3,1.1
517,282.3,1.1
516,282.4,1.1
515,282.5,1.1
514,282.6,1.1
513,282.6,1.1
512,282.7,1.1
511,282.8,1.1
510,282.8,1.1
509,282.9,1.1
508,282.9,1.1
507,282.9,1.1
506,283.0,1.1
505,283.0,1.1
504,283.0,1.1
503,283.1,1.1
502,283.1,1.1
501,283.1,1.1
500,283.1,1.1
499,283.1,1.1
498,283.1,1.1
497,283.2,1.1
496,283.2,1.1
495,283.2,1.1
494,283.2,1.1
493,283.2,1.1
492,283.2,1.1
491,283.2,1.1
490,283.2,1.1
489,283.2,1.1
488,283.2,1.1
487,283.2,1.1
486,283.2,1.1
485,283.2,1.1
484,283.2,1.1
483,283.2,1.1
482,283.2,1.1
481,283.2,1.1
480,283.2,1.1
479,283.2,1.1
478,283.2,1.1
477,283.2,1.1
476,283.2,1.1
475,283.1,1.1
474,283.1,1.1
473,283.1,1.1
472,283.0,1.1
471,283.0,1.1
470,282.9,1.1
469,282.8,1.1
468,282.7,1.1
467,282.6,1.1
466,282.5,1.1
465,282.4,1.1
464,282.3,1.1
463,282.2,1.1
462,282.1,1.1
461,282.0,1.1
460,281.9,1.1
459,281.8,1.1
458,281.8,1.1
457,281.7,1.1
456,281.7,1.1
455,281.6,1.1
454,281.6,1.1
453,281.6,1.1
452,281.6,1.1
451,281.7,1.1
450,281.7,1.1
449,281.7,1.1
448,281.8,1.1
447,281.8,1.1
446,281.9,1.1
445,281.9,1.1
444,282.0,1.1
443,282.1,1.1
442,282.1,1.1
441,282.2,1.1
440,282.2,1.1
439,282.2,1.1
438,282.2,1.1
437,282.2,1.1
436,282.1,1.1
435,282.0,1.1
434,281.8,1.1
433,281.6,1.1
432,281.4,1.1
431,281.0,1.1
430,280.7,1.1
429,280.2,1.1
428,279.7,1.1
427,279.2,1.1
426,278.7,1.1
425,278.2,1.1
424,277.8,1.1
423,277.4,1.1
422,276.9,1.1
421,276.6,1.1
420,276.2,1.1
419,275.8,1.1
418,275.4,1.1
417,275.0,1.1
416,274.7,1.1
415,274.3,1.1
414,273.9,1.1
413,273.6,1.1
412,273.2,1.1
411,272.9,1.1
410,272.5,1.1
409,272.3,1.1
408,272.0,1.1
407,271.8,1.1
406,271.7,1.1
405,271.6,1.1
404,271.6,1.1
403,271.6,1.1
402,271.7,1.1
401,271.8,1.1
400,271.9,1.1
399,272.1,1.1
398,272.3,1.1
397,272.5,1.1
396,272.7,1.1
395,272.9,1.1
394,273.2,1.1
393,273.4,1.1
392,273.7,1.1
391,274.0,1.1
390,274.2,1.1
389,274.5,1.1
388,274.7,1.1
387,275.0,1.1
386,275.2,1.1
385,275.4,1.1
384,275.6,1.1
383,275.8,1.1
382,276.0,1.1
381,276.2,1.1
380,276.3,1.1
379,276.4,1.1
378,276.6,1.1
377,276.7,1.1
376,276.8,1.1
375,276.9,1.1
374,277.0,1.1
373,277.0,1.1
372,277.1,1.1
371,277.1,1.1
370,277.2,1.1
369,277.2,1.1
368,277.2,1.1
367,277.2,1.1
366,277.2,1.1
365,277.2,1.1
364,277.2,1.1
363,277.1,1.1
362,277.1,1.1
361,277.0,1.1
360,277.0,1.1
359,276.9,1.1
358,276.9,1.1
357,276.8,1.1
356,276.8,1.1
355,276.7,1.1
354,276.6,1.1
353,276.6,1.1
352,276.5,1.1
351,276.4,1.1
350,276.4,1.1
349,276.3,1.1
348,276.2,1.1
347,276.2,1.1
346,276.1,1.1
345,276.1,1.1
344,276.0,1.1
343,276.0,1.1
342,276.0,1.1
341,275.9,1.1
340,275.9,1.1
339,275.9,1.1
338,275.9,1.1
337,275.9,1.1
336,275.9,1.1
335,276.0,1.1
334,276.0,1.1
333,276.0,1.1
332,276.1,1.1
331,276.1,1.1
330,276.2,1.1
329,276.3,1.1
328,276.3,1.1
327,276.4,1.1
326,276.4,1.1
325,276.4,1.1
324,276.5,1.1
323,276.5,1.1
322,276.5,1.1
321,276.6,1.1
320,276.6,1.1
319,276.6,1.1
318,276.6,1.1
317,276.6,1.1
316,276.6,1.1
315,276.6,1.1
314,276.6,1.1
313,276.6,1.1
312,276.6,1.1
311,276.6,1.1
310,276.6,1.1
309,276.6,1.1
308,276.6,1.1
307,276.6,1.1
306,276.6,1.1
305,276.6,1.1
304,276.7,1.1
303,276.7,1.1
302,276.7,1.1
301,276.8,1.1
300,276.8,1.1
299,276.9,1.1
298,277.0,1.1
297,277.1,1.1
296,277.2,1.1
295,277.3,1.1
294,277.4,1.1
293,277.5,1.1
292,277.6,1.1
291,277.7,1.1
290,277.8,1.1
289,277.9,1.1
288,278.0,1.1
287,278.1,1.1
286,278.1,1.1
285,278.1,1.1
284,278.0,1.1
283,278.0,1.1
282,277.8,1.1
281,277.7,1.1
280,277.5,1.1
279,277.4,1.1
278,277.2,1.1
277,277.1,1.1
276,277.0,1.1
275,276.9,1.1
274,276.8,1.1
273,276.8,1.1
272,276.8,1.1
271,276.8,1.1
270,276.8,1.1
269,276.8,1.1
268,276.8,1.1
267,276.8,1.1
266,276.8,1.1
265,276.8,1.1
264,276.7,1.1
263,276.7,1.1
262,276.6,1.1
261,276.6,1.1
260,276.6,1.1
259,276.5,1.1
258,276.5,1.1
257,276.5,1.1
256,276.5,1.1
255,276.5,1.1
254,276.6,1.1
253,276.6,1.1
252,276.7,1.1
251,276.9,1.1
250,277.0,1.1
249,277.1,1.1
248,277.3,1.1
247,277.4,1.1
246,277.6,1.1
245,277.7,1.1
244,277.8,1.1
243,278.0,1.1
242,278.1,1.1
241,278.1,1.1
240,278.2,1.1
239,278.2,1.1
238,278.2,1.1
237,278.1,1.1
236,278.2,1.1
235,278.3,1.1
234,278.4,1.1
233,278.6,1.1
232,278.9,1.1
231,279.1,1.1
230,279.4,1.1
229,279.7,1.1
228,280.0,1.1
227,280.3,1.1
226,280.6,1.1
225,280.9,1.1
224,281.2,1.1
223,281.4,1.1
222,281.7,1.1
221,281.9,1.1
220,282.1,1.1
219,282.4,1.1
218,282.6,1.1
217,282.8,1.1
216,283.0,1.1
215,283.2,1.1
214,283.4,1.1
213,283.6,1.1
212,283.7,1.1
211,283.9,1.1
210,284.0,1.1
209,284.1,1.1
208,284.2,1.1
207,284.2,1.1
206,284.2,1.1
205,284.2,1.1
204,284.2,1.1
203,284.1,1.1
202,283.9,1.1
201,283.8,1.1
200,283.6,1.1
199,283.5,1.1
198,283.3,1.1
197,283.2,1.1
196,283.1,1.1
195,283.0,1.1
194,283.0,1.1
193,283.1,1.1
192,283.2,1.1
191,283.4,1.1
190,283.6,1.1
189,283.7,1.1
188,283.9,1.1
187,284.0,1.1
186,284.0,1.1
185,284.0,1.1
184,284.0,1.1
183,283.9,1.1
182,283.9,1.1
181,283.9,1.1
180,283.9,1.1
179,283.9,1.1
178,284.0,1.1
177,284.3,1.1
176,284.6,1.1
175,285.1,1.1
174,285.5,1.1
173,285.9,1.1
172,286.2,1.1
171,286.5,1.1
170,286.6,1.1
169,286.8,1.1
168,286.8,1.1
167,286.8,1.1
166,286.8,1.1
165,286.7,1.1
164,286.5,1.1
163,286.4,1.1
162,286.2,1.1
161,286.2,1.1
160,286.2,1.1
159,286.2,1.1
158,286.1,1.1
157,286.1,1.1
156,286.1,1.1
155,286.1,1.1
154,286.1,1.1
153,286.3,1.1
152,286.5,1.1
151,286.8,1.1
150,287.1,1.1
149,287.5,1.1
148,287.9,1.1
147,288.3,1.1
146,288.8,1.1
145,289.1,1.1
144,289.4,1.1
143,289.5,1.1
142,289.5,1.1
141,289.6,1.1
140,289.6,1.1
139,289.6,1.1
138,289.8,1.1
137,289.9,1.1
136,290.1,1.1
135,290.3,1.1
134,290.6,1.1
133,290.9,1.1
132,291.3,1.1
131,291.8,1.1
130,292.2,1.1
129,292.6,1.1
128,293.0,1.1
127,293.6,1.1
126,294.1,1.1
125,294.6,1.1
124,295.1,1.1
123,295.5,1.1
122,295.9,1.1
121,296.0,1.1
120,296.0,1.1
119,296.0,1.1
118,296.1,1.1
117,296.2,1.1
116,296.4,1.1
115,296.7,1.1
114,297.0,1.1
113,297.4,1.1
112,297.9,1.1
111,298.3,1.1
110,298.7,1.1
109,299.1,1.1
108,299.3,1.1
107,299.5,1.1
106,299.8,1.1
105,300.2,1.1
104,300.6,1.1
103,301.1,1.1
102,301.6,1.1
101,302.1,1.1
100,302.6,1.1
99,303.0,1.1
98,303.4,1.1
97,303.7,1.1
96,303.9,1.1
95,304.1,1.1
94,304.4,1.1
93,304.7,1.1
92,305.0,1.1
91,305.4,1.1
90,305.8,1.1
89,306.2,1.1
88,306.6,1.1
87,307.0,1.1
86,307.3,1.1
85,307.6,1.1
84,308.0,1.1
83,308.4,1.1
82,308.7,1.1
81,309.2,1.1
80,309.6,1.1
79,310.1,1.1
78,310.5,1.1
77,310.8,1.1
76,311.0,1.1
75,311.0,1.1
74,311.0,1.1
73,310.9,1.1
72,310.8,1.1
71,310.8,1.1
70,310.9,1.1
69,311.0,1.1
68,311.2,1.1
67,311.5,1.1
66,311.8,1.1
65,312.2,1.1
64,312.8,1.1
63,313.5,1.1
62,314.1,1.1
61,314.7,1.1
60,315.2,1.1
59,315.97,0.12
58,316.91,0.12
57,317.64,0.12
56,318.45,0.12
55,318.99,0.12
54,319.62,0.12
53,320.04,0.12
52,321.38,0.12
51,322.16,0.12
50,323.04,0.12
49,324.62,0.12
48,325.68,0.12
47,326.32,0.12
46,327.45,0.12
45,329.68,0.12
44,330.18,0.12
43,331.11,0.12
42,332.04,0.12
41,333.83,0.12
40,335.4,0.12
39,336.84,0.12
38,338.75,0.12
37,340.11,0.12
36,341.45,0.12
35,343.05,0.12
34,344.65,0.12
33,346.12,0.12
32,347.42,0.12
31,349.19,0.12
30,351.57,0.12
29,353.12,0.12
28,354.39,0.12
27,355.61,0.12
26,356.45,0.12
25,357.1,0.12
24,358.83,0.12
23,360.82,0.12
22,362.61,0.12
21,363.73,0.12
20,366.7,0.12
19,368.38,0.12
18,369.55,0.12
17,371.14,0.12
16,373.28,0.12
15,375.8,0.12
14,377.52,0.12
13,379.8,0.12
12,381.9,0.12
11,383.79,0.12
10,385.6,0.12
9,387.43,0.12
8,389.9,0.12
7,391.65,0.12
6,393.85,0.12
5,396.52,0.12
4,398.65,0.12
3,400.83,0.12
2,404.24,0.12
1,406.55,0.12
0,408.52,0.12
